Category,original fluid,new fluid,original lable,new Label,Short,Unit,Normal Range
Chemistry,Ascites,Ascite Sample analysis - Whole,"Sodium, Ascites",Sodium,Sodium,milliequivalents per liter (mEq/L),135 to 145 mEq/L
Chemistry,Pleural,Pleural Sample analysis - Whole,"Sodium, Pleural",Sodium,Sodium,milliequivalents per liter (mEq/L),135 to 145 mEq/L
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,"Sodium, Whole Blood",Sodium,Sodium,milliequivalents per liter (mEq/L),135 to 145 mEq/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Lactate Dehydrogenase (LD),Lactate Dehydrogenase (LD),LD,units per liter (U/L),140 to 280 U/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Ammonia,Ammonia,Ammonia,micromoles per liter (µmol/L),15 to 45 µmol/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,EE1,Ethinyl Estradiol (EE),EE,picogram per deciliter (pg/dL),"15-30 pg/mL for most combined oral contraceptives (COCs).
30-40 pg/mL for some high-dose COCs."
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,EE2,Ethinyl Estradiol (EE),EE,picogram per deciliter (pg/dL),"15-30 pg/mL for most combined oral contraceptives (COCs).
30-40 pg/mL for some high-dose COCs."
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,EE3,Ethinyl Estradiol (EE),EE,picogram per deciliter (pg/dL),"15-30 pg/mL for most combined oral contraceptives (COCs).
30-40 pg/mL for some high-dose COCs."
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,EE5,Ethinyl Estradiol (EE),EE,picogram per deciliter (pg/dL),"15-30 pg/mL for most combined oral contraceptives (COCs).
30-40 pg/mL for some high-dose COCs."
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,EE6,Ethinyl Estradiol (EE),EE,picogram per deciliter (pg/dL),"15-30 pg/mL for most combined oral contraceptives (COCs).
30-40 pg/mL for some high-dose COCs."
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,EE7,Ethinyl Estradiol (EE),EE,picogram per deciliter (pg/dL),"15-30 pg/mL for most combined oral contraceptives (COCs).
30-40 pg/mL for some high-dose COCs."
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Lymphocytes,Lymphocytes,Lymphocytes,percentage,15% to 40%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Macrophage,Macrophage,Macrophage,percentage,15% to 40%  of the total WBC count
Chemistry,Urine,urine sample (24-hour) analysis,24 hr Protein,Protein,Protein,milligrams for a 24-hour urine collection (mg/day),150 mg/day
Chemistry,Urine,urine sample (24-hour) analysis,"Total Protein, Urine",Protein,Protein,milligrams for a 24-hour urine collection (mg/day),150 mg/day
Hematology,Blood,Peripheral Blood Sample analysis - Whole,CD16/56 Absolute Count,cluster of differentiation (CD) 16/56 Absolute Count,CD16/56 Absolute Count,cells per microliter (μL),150 to 900 cells/µL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,CD56 Absolute Count,cluster of differentiation (CD) 56 Absolute Count,CD56 Absolute Count,cells per microliter (μL),150 to 900 cells/µL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Platelet Count,Platelet,Platelet,platelets per microliter,"150,000 to 400,000 platelets per μL of blood"
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Platelet Smear,Platelet,Platelet,platelets per microliter,"150,000 to 400,000 platelets per μL of blood"
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Absolute Neutrophil Count,Absolute Neutrophil,Absolute Neutrophil,cells per microliter (μL),1800 - 7800 cells/µL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Prolactin,Prolactin,Prolactin,nanograms per milliliter (ng/mL),2 to 18 ng/mL in non-pregnant women and 2 to 25 ng/mL in men
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Lambda,Lambda,Lambda,micrograms per liter (μg/L),"2,630 - 9,400 μg/L"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Globulin,Globulin,Globulin,grams per deciliter (g/dL),2.0 to 3.5 g/dL
Chemistry,Joint Fluid,Joint Fluid sample analysis - Whole,"Uric Acid, Joint Fluid",Uric Acid,Uric Acid,Milligrams per deciliter (mg/dL),2.0 to 6.8 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Phosphate,Phosphate,Phosphate,milligrams per deciliter (mg/dL),2.5 to 4.5 mg/dL
Chemistry,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,"Lactate Dehydrogenase, CSF",Lactate Dehydrogenase,LD,International Units per liter (IU/L),2/3 of the upper limit of the serum LDH level
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Monocytes,Monocytes,Monocytes,percentage,2% and 10% of the total white blood cell count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Monos,Monocytes,Monocytes,percentage,2% to 10% of the total white blood cell count
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Amikacin,Amikacin,Amikacin,micrograms per milliliter (µg/mL),20-30 µg/mL
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Lymphocytes,Lymphocytes,Lymphocytes,percentage,20-40% of the total white blood cell count
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,"Lymphocytes, Percent",Lymphocytes,Lymphocytes,percentage,20-40% of the total white blood cell count
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,25-OH Vitamin D,25-hydroxyvitamin D,25-OH Vitamin D,nanograms per milliliter (ng/mL),20-50 ng/mL
Hematology,Blood,Peripheral Blood Sample analysis - lymphocyte,"CD8 Cells, Percent",cluster of differentiation (CD) 8 %,CD8 %,percentage,20-50% of total lymphocytes
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Lymphocytes,Lymphocytes,Lymphocytes,percentage,20% to 40% of the total white blood cell count
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Absolute Monocyte Count,Absolute Monocyte,Absolute Monocyte,cells per microliter (μL),200 - 800 cells/µL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Vitamin B12,Vitamin B12,Vitamin B12,picograms per milliliter (pg/mL),200 and 900 pg/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Transferrin,Transferrin,Transferrin,milligrams per deciliter (mg/dL),200 to 360 mg/dL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Absolute CD8 Count,cluster of differentiation (CD) 8 Absolute Count,CD8 Absolute Count,cells per microliter (μL),200 to 800 cells/µL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Monocyte Count,Monocyte,Monocyte,cells per microliter (μL),200 to 950 cells/µL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,"Fibrinogen, Functional","Fibrinogen, Functional","Fibrinogen, Functional",milligrams per deciliter (mg/dL),200-400 mg/dL (2-4 g/L)
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Bicarbonate,Bicarbonate,Bicarbonate,milliequivalents per liter (mEq/L),22 to 29 mEq/L
Chemistry,Ascites,Ascite Sample analysis - Whole,"Bicarbonate, Ascites",Bicarbonate,Bicarbonate,milliequivalents per liter (mEq/L),22 to 29 mEq/L
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,"Calculated Bicarbonate, Whole Blood",Bicarbonate,Bicarbonate,milliequivalents per liter (mEq/L),22 to 29 mEq/L
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,Calculated Total CO2,"Carbon dioxide, Total","CO2, Total",milliequivalents per liter (mEq/L),23 to 29 mEq/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Total CO2,"CO2, Total","CO2, Total",milliequivalents per liter (mEq/L),23 to 29 mEq/L
Chemistry,Urine,urine sample (24-hour) analysis,"Amylase, Urine",Amylase,Amylase,units for a 24-hour urine collection (U/day),24-400 U/day
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Iron Binding Capacity, Total","Iron Binding Capacity, Total","Iron Binding Capacity, Total",micrograms per deciliter (μg/dL),240 to 450 μg/dL
Chemistry,Urine,urine sample (24-hour) analysis,"Potassium, Urine",Potassium,Potassium,milliequivalents for a 24-hour urine collection (mEq/day),25 to 125 mEq/day
Chemistry,Pleural,Pleural Sample analysis - Whole,"Bicarbonate, Pleural",Bicarbonate,Bicarbonate,milliequivalents per liter (mEq/L),25 to 30 mEq/L
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,PTT,Partial Thromboplastin Time,PTT,seconds (s),25 to 35 seconds
Chemistry,Urine,urine sample (24-hour) analysis,"Uric Acid, Urine",Uric Acid,Uric Acid,milligrams for a 24-hour urine collection (mg/day),250 to 750 mg/day
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,MCH,Mean Corpuscular Hemoglobin (MCH),MCH,picograms (pg) per a RBC,27 and 33 pg per a RBC
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Osmolality, Measured","Osmolality, Measured","Osmolality, Measured",milliosmoles per kilogram (mOsm/kg),275 and 295 mOsm/kg
Chemistry,Ascites,Ascite Sample analysis - Whole,"Osmolality, Ascites",Osmolality,Osmolality,milliosmoles per kilogram (mOsm/kg),275 to 295 mOsm/kg
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Leukocyte Alkaline Phosphatase,Leukocyte Alkaline Phosphatase,Leukocyte Alkaline Phosphatase,units per liter (U/L),3 to 130 U/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Free Kappa,"Kappa,Free","Kappa, Free",milligrams per liter (mg/L),3.3 to 19.4 mg/L
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Kappa,"Kappa,Free","Kappa, Free",milligrams per liter (mg/L),3.3 to 19.4 mg/L
Hematology,Bone Marrow,Bone Marrow Sample analysis - Plasma,Kappa,Kappa,Kappa,milligrams per liter (mg/L),3.3 to 19.4 mg/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Albumin,Albumin,Albumin,grams per deciliter (g/dL),3.4 to 5.4 g/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Uric Acid,Uric Acid,Uric Acid,milligrams per liter (mg/dL),3.4 to 7.0 mg/dL for males and 2.4 to 6.0 mg/dL for females
Chemistry,Joint Fluid,Joint Fluid sample analysis - Whole,"Albumin, Joint Fluid",Albumin,Albumin,grams per deciliter (g/dL),3.5 to 5.0 g/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,K (GREEN),Potassium,K,milliequivalents per liter (mEq/L),3.5 to 5.0 mEq/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Potassium,Potassium,Potassium,milliequivalents per liter (mEq/L),3.5 to 5.0 mEq/L
Chemistry,Ascites,Ascite Sample analysis - Whole,"Potassium, Ascites",Potassium,Potassium,milliequivalents per liter (mEq/L),3.5 to 5.0 mEq/L
Chemistry,Pleural,Pleural Sample analysis - Whole,"Potassium, Pleural",Potassium,Potassium,milliequivalents per liter (mEq/L),3.5 to 5.0 mEq/L
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,"Potassium, Whole Blood",Potassium,Potassium,milliequivalents per liter (mEq/L),3.5 to 5.0 mEq/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Amylase,Amylase,Amylase,units per liter (U/L),30 to 110 U/L
Chemistry,Joint Fluid,Joint Fluid sample analysis - Whole,"Amylase, Joint Fluid",Amylase,Amylase,Units per liter (U/L),30 to 110 U/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Alkaline Phosphatase,Alkaline Phosphatase (ALP),ALP,units per liter (U/L),30 to 120 U/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Haptoglobin,Haptoglobin,Haptoglobin,milligrams per deciliter (mg/dL),30 to 200 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,Creatine Kinase (CK),Creatine Kinase (CK),CK,units per liter (U/L),30 to 200 U/L
Chemistry,Ascites,Ascite Sample analysis - Whole,"Amylase, Ascites",Amylase,Amylase,units per liter (U/L),30-110 U/L
Hematology,Blood,Peripheral Blood Sample analysis - Whole,"Reticulocyte Count, Absolute","Reticulocyte, Absolute Count","Reticulocyte, Absolute Count",reticulocytes per microliter (µL),"30,000 to 100,000 µL of whole blood sample."
Hematology,Blood,Peripheral Blood Sample analysis - lymphocyte,"CD4 Cells, Percent",cluster of differentiation (CD) 4 %,CD4 %,percentage,30% to 60% of total lymphocytes
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Testosterone,Testosterone,Testosterone,nanograms per deciliter (ng/dL),"300 to 1,000 ng/dL"
Chemistry,Urine,urine sample (random) Substances Measurement,"Osmolality, Urine",Osmolality,Osmolality,milliosmoles per kilogram (mOsm/kg),300 to 900 mOsm/kg
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,MCHC,Mean Corpuscular Hemoglobin Concentration (MCHC),MCHC,grams per deciliter (g/dL),32 and 36 g/dL of RBCs
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,DHEA-Sulfate,Dehydroepiandrosterone sulfate (DHEA-Sulfate),DHEA-Sulfate,micrograms per deciliter (μg/dL),35 to 430 μg/dL
Blood_GAS,Blood,Arterial blood sample analysis - whole,pCO2,the partial pressure of carbon dioxide in arterial blood,PaCO2,Millimeters of mercury (mmHg),35 to 45 mmHg
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,RDW-SD,Red Cell Distribution Width - Standard Deviation (RDW-SD),RDW-SD,femtoliters (fL),35.1 to 46.3 fL of standard devitation of the mean corpuscular volume of the RBCs
Blood_GAS,Blood,Arterial blood sample analysis - whole,Temperature,Temperature,Temperature,degrees Celsius (°C),36.5 to 37.5 °C
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Procainamide,Procainamide,Procainamide,micrograms per milliliter (μg/mL),4 and 10 μg/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,White Blood Cells,white blood cells (WBCs),WBC,cells per microliter (cells/μL),4 and 11 thousands cells/μL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Carbamazepine,Carbamazepine,Carbamazepine,micrograms per milliliter (μg/mL),4 to 12 μg/mL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,WBC Count,white blood cells (WBCs),WBC,cells per microliter (µL),"4,000 to 11,000 WBCs per µL of whole blood"
Hematology,Blood,Peripheral Blood Sample analysis - Whole,White Blood Cells,white blood cells (WBCs),WBCs,cells per microliter (µL),"4,000 to 11,000 WBCs per µL of whole blood"
Hematology,Blood,Peripheral Blood Sample analysis - Whole,wbcp,White Blood Cell Count with Differential,WBCP,cells per microliter (μL),"4,500 and 11,000 cells/µL"
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Red Blood Cells,Red Blood Cells,RBCs,cells per microliter (cells/μL),"4.2 to 5.4 million cells/µL for adult males 
3.6 to 5.0 million cells/µL for adult females."
Chemistry,Urine,urine sample (random) Urinalysis,pH,potential of hydrogen,pH,unit,4.5 to 8.0 units
Hematology,Urine,urine sample (random) Urinalysis,pH,potential of hydrogen,pH,unit,4.5 to 8.0 units
Chemistry,Urine,urine sample (24-hour) analysis,"Sodium, Urine",Sodium,Sodium,milliequivalents for a 24-hour urine collection (mEq/day),40 to 220 mEq/day
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Immunoglobulin M,Immunoglobulin M (IgM),IgM,milligrams per deciliter (mg/dL),40 to 230 mg/dL
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Neutrophils,Neutrophils,Neutrophils,percentage,40-60% of the total white blood cell count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Macrophages,Macrophage,Macrophage,percentage,40% to 80% of the total white blood cell count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Polys,Polys,Polys,percentage,40% to 80% of the total white blood cell count
Chemistry,Urine,urine sample (24-hour) analysis,"Phosphate, Urine",Phosphate,Phosphate,milligrams for a 24-hour urine collection (mg/day),400 to 1300 mg/day
Chemistry,Urine,urine sample (random) Microscopic Examination,Leukocytes,Leukocytes,Leukocytes,Absent/presence,5 leukocytes per high power field (HPF) or less than 10 leukocytes per microliter (µL) of urine
Hematology,Urine,urine sample (random) Microscopic Examination,Leukocytes,Leukocytes,Leukocytes,low power field (LPF) or high power field (HPF),5 leukocytes per HPF
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Tobramycin,Tobramycin,Tobramycin,micrograms per milliliter (μg/mL),5 to 10 μg/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Calculated Thyroxine (T4) Index,Thyroxine (T4),T4,micrograms per deciliter (μg/dL),5 to 12 μg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Thyroxine (T4),Thyroxine (T4),T4,micrograms per deciliter (μg/dL),5 to 12 μg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Rapamycin,Rapamycin,Rapamycin,nanograms per milliliter (ng/mL),5 to 15 ng/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,tacroFK,Tacrolimus Fujisawa and Kino (tacroFK),tacroFK,nanograms per milliliter (ng/mL),5 to 15 ng/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Theophylline,Theophylline,Theophylline,micrograms per milliliter (μg/mL),5 to 15 μg/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Testosterone, Free","Testosterone, Free","Testosterone, Free",picogram per mililiter (pg/mL),5 to 21 pg/mL
Chemistry,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,"Total Protein, CSF","Protein, Total","Protein, Total",milligrams per deciliter (mg/dL),5 to 45 mg/dL
Hematology,Blood,Peripheral Blood Sample analysis - lymphocyte,CD16/56%,cluster of differentiation (CD) 16/56 %,CD16/56 %,percentage,5-20%  of total lymphocytes
Blood_GAS,Blood,Respiratory Support,Tidal Volume,Tidal Volume,Tidal Volume,milliliters per kilogram of body weight (mL/kg),5-7 mL/kg
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Free Lambda,"Lambda, Free","Lambda, Free",milligrams per liter (mg/L),5.7 to 26.3 mg/L
Hematology,Bone Marrow,Bone Marrow Sample analysis - Plasma,Lambda,Lambda,Lambda,milligrams per liter (mg/L),5.7 to 26.3 mg/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Phenytoin, Percent Free","Phenytoin, Free","Phenytoin, Free",percentage,5% to 12%
Hematology,Blood,Peripheral Blood Sample analysis - Whole,CD20 %,cluster of differentiation (CD) 20 %,CD20 %,percentage,5% to 15%  of total lymphocytes
Hematology,Blood,Peripheral Blood Sample analysis - lymphocyte,CD19 %,cluster of differentiation (CD) 19 %,CD19 %,percentage,5% to 15% of total lymphocytes
Hematology,Blood,Peripheral Blood Sample analysis - lymphocyte,CD56 %,cluster of differentiation (CD) 56 %,CD56 %,percentage,5% to 15% of total lymphocytes
Hematology,Cerebrospinal Fluid,Pleural Sample analysis - White Blood Cells,Mesothelial cells,Mesothelial Cell,Mesothelial Cell,percentage,5% to 30%  of the total white blood cell count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Mesothelial Cells,Mesothelial Cell,Mesothelial Cell,percentage,5% to 30%  of the total white blood cell count
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Von Willebrand Factor Antigen,Von Willebrand Factor (VWF) Antigen,VWF Antigen,International Units per deciliter (IU/dL),50 and 180 IU/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Valproic Acid,Valproic Acid,Valproic Acid,micrograms per milliliter (μg/mL),50 to 100 μg/mL
Chemistry,Pleural,Pleural Sample analysis - Whole,"Cholesterol, Pleural",Cholesterol,Cholesterol,milligrams per deciliter (mg/dL),50 to 60 mg/dL
Chemistry,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,"Glucose, CSF",Glucose,Glucose,milligrams per deciliter (mg/dL),50 to 80 mg/dL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor V,Factor V,Factor V,percentage units per milliliter (U/mL),50-150% U/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor VII,Factor VII,Factor VII,percentage units per milliliter (U/mL),50-150% U/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor VIII,Factor VIII,Factor VIII,percentage units per milliliter (U/mL),50-150% U/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor X,Factor X,Factor X,percentage units per milliliter (U/mL),50-150% U/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor XII,Factor XII,Factor XII,percentage units per milliliter (U/mL),50-150% U/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Von Willebrand Factor Activity,Von Willebrand Factor (VWF) Activity,VWF Activity,percentage,50% to 200% of normal plasma levels
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Polys,Polys,Polys,percentage,50% to 70% of the total WBC count
Hematology,Ascites,Ascite Sample analysis - Whole,"RBC, Ascites",Red Blood Cells (RBCs),RBCs,cells per microliter (cells/μL),500 cells/μL in whole ascite sample
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Absolute CD4 Count,cluster of differentiation (CD) 4 Absolute Count,CD4 Absolute Count,cells per microliter (µL),500 to 1500 cells per µL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,CD5 Absolute Count,cluster of differentiation (CD) 5 Absolute Count,CD5 Absolute Count,cells per microliter (µL),500 to 1500 cells µL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Absolute CD3 Count,cluster of differentiation (CD) 3 Absolute Count,CD3 Absolute Count,cells per microliter (µL),500 to 1600 cells per µL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,CD3 Absolute Count,cluster of differentiation (CD) 3 Absolute Count,CD3 Absolute Count,cells per microliter (µL),"500 to 2,500 cells per µL"
Hematology,Blood,Peripheral Blood Sample analysis - Hemoglobin,Quantitative G6PD,"Glucose-6-Phosphate Dehydrogenase, Quantitative","G6PD, Quantitative",unit,6 to 12.4 unitt in one gram of hemoglobin
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Cortisol,Cortisol,Cortisol,micrograms per deciliter (μg/dL),6 to 23 μg/dL
Blood_GAS,Blood,Arterial blood sample analysis - whole,P50 of Hemoglobin,P50 of Hemoglobin,P50 of Hemoglobin,Millimeters of mercury (mmHg),6-27 mmHg at normal body temperature (37°C)
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Protein, Total","Protein, Total","Protein, Total",grams per deciliter (g/dL),6.0 to 8.3 g/dL
Chemistry,Pleural,Pleural Sample analysis - Whole,"Glucose, Pleural",Glucose,Glucose,milligrams per deciliter (mg/dL),60 to 100 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Iron,Iron,Iron,micrograms per deciliter (μg/dL),"60 to 170 μg/dL for males, 50 to 150 μg/dL for females"
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,"Protein S, Antigen","Protein S, Antigen","Protein S, Antigen",percentage,60% and 140% of the normal reference range of protein C in plasma
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,"Protein S, Functional","Protein S, Functional","Protein S, Functional",percentage,60% and 140% of the normal reference range of protein C in plasma
Hematology,Blood,Peripheral Blood Sample analysis - lymphocyte,CD3 %,cluster of differentiation (CD) 3 %,CD3 %,percentage,60% to 80% of total lymphocytes
Hematology,Blood,Peripheral Blood Sample analysis - lymphocyte,"CD3 Cells, Percent",cluster of differentiation (CD) 3 %,CD3 %,percentage,60% to 80% of total lymphocytes
Hematology,Blood,Peripheral Blood Sample analysis - lymphocyte,CD5 %,cluster of differentiation (CD) 5 %,CD5 %,percentage,65-85% of total lymphocytes
Chemistry,Ascites,Ascite Sample analysis - Whole,"Urea Nitrogen, Ascites",Urea Nitrogen,Urea Nitrogen,milligrams per deciliter (mg/dL),7 to 20 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Urea Nitrogen,Urea Nitrogen,Urea Nitrogen,milligrams per liter (mg/dL),7 to 20 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Alanine Aminotransferase (ALT),Alanine Aminotransferase,ALT,units per liter (U/L),7 to 56 U/L
Blood_GAS,Blood,Arterial blood sample analysis - whole,pH,potential of hydrogen,pH,unit,7.35 to 7.45 unit
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Large Platelets,Large Platelets,Large Platelets,femtoliters (fL),7.4 to 10.4 fL
Chemistry,Joint Fluid,Joint Fluid sample analysis - Whole,"Glucose, Joint Fluid",Glucose,Glucose,Milligrams per deciliter (mg/dL),70 to 110 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,eAG,estimated average glucose (eAG),eAG,milligrams per deciliter (mg/dL),70 to 130 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Immunoglobulin A,Immunoglobulin A (IgA),IgA,milligrams per deciliter (mg/dL),70 to 400 mg/dL
Chemistry,Ascites,Ascite Sample analysis - Whole,"Glucose, Ascites",Glucose,Glucose,milligrams per deciliter (mg/dL),70-110 mg/dL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor XI,Factor XI,Factor XI,percentage units per milliliter (U/mL),70-120% U/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor II,Factor II,Factor II,percentage units per milliliter (U/mL),70-130% U/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor XIII,Factor XIII,Factor XIII,percentage units per milliliter (U/mL),70-140% U/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Factor IX,Factor IX,Factor IX,percentage units per milliliter (U/mL),70-165% U/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,"Protein C, Antigen","Protein C, Antigen","Protein C, Antigen",percentage,70% and 140% of the normal reference range of protein C in plasma
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,"Protein C, Functional","Protein C, Functional","Protein C, Functional",percentage,70% and 140% of the normal reference range of protein C in plasma
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Immunoglobulin G,Immunoglobulin G (IgG),IgG,milligrams per deciliter (mg/dL),700 to 1600 mg/dL
Chemistry,Urine,urine sample (24-hour) analysis,"Magnesium, Urine",Magnesium,Magnesium,milligrams for a 24-hour urine collection (mg/day),72 to 122 mg/day
Blood_GAS,Blood,Arterial blood sample analysis - whole,pO2,the partial pressure of oxygen in arterial blood,PaO2,Millimeters of mercury (mmHg),75 to 100 mmHg
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,C3,Complement component 3 (C3),C3,milligrams per deciliter (mg/dL),75 to 175 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Anion Gap,Anion Gap,Anion Gap,milliequivalents per liter (mEq/L),8 to 16 mEq/L
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Reptilase Time,Reptilase Time,Reptilase Time,seconds (s),8 to 22 seconds
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Calcium, Total","Calcium, Total","Calcium, Total",milligrams per deciliter (mg/dL),8.5 to 10.5 mg/dL
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,MCV,Mean Corpuscular Volume (MCV),MCV,femtoliters (fL),80 and 100 fL per a RBC
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Triiodothyronine (T3),Triiodothyronine (T3),T3,nanograms per deciliter (ng/dL),80 and 200 ng/dL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Macrocytes,Macrocytes,Macrocytes,femtoliters (fL),80-100 fL
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Antithrombin,Antithrombin,Antithrombin,percentage,80% and 120%  U/mL in WBC
